"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 12:29:50 IST 2024","Fri Jul 12 12:29:52 IST 2024","1903","Default Suite","SeleniumSkwadProject","org.example.User.Signpage","org.example.User.Signpage","termsRedirectionTest","termsRedirectionTest",""
"passed","Tue Jul 09 11:16:48 IST 2024","Tue Jul 09 11:16:51 IST 2024","3602","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Signpage","org.example.Signpage","signUpwithoutfirstname","signUpwithoutfirstname",""
"broken","Tue Jul 02 16:41:07 IST 2024","Tue Jul 02 16:41:08 IST 2024","92","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","sharelink","sharelink",""
"passed","Thu Jul 11 14:33:44 IST 2024","Thu Jul 11 14:33:47 IST 2024","3165","Default Suite","SeleniumSkwadProject","org.example.Resturant.RLoginPage","org.example.Resturant.RLoginPage","Nagtive_Test4","Nagtive_Test4",""
"broken","Thu Jun 27 15:24:18 IST 2024","Thu Jun 27 15:24:18 IST 2024","1","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","setUp","setUp",""
"passed","Thu Jul 11 14:33:55 IST 2024","Thu Jul 11 14:33:56 IST 2024","967","Default Suite","SeleniumSkwadProject","org.example.Resturant.RLoginPage","org.example.Resturant.RLoginPage","Nagtive_Test5","Nagtive_Test5",""
"broken","Thu Jul 11 15:23:22 IST 2024","Thu Jul 11 15:23:23 IST 2024","176","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.Profile","org.example.Resturant.Profile","UserProfile","UserProfile",""
"broken","Mon Jul 15 17:55:15 IST 2024","Mon Jul 15 17:55:15 IST 2024","78","Default Suite","SeleniumSkwadProject","org.example.Resturant.Payment","org.example.Resturant.Payment","testUpgradeToProButton","testUpgradeToProButton",""
"passed","Fri Jul 12 12:35:26 IST 2024","Fri Jul 12 12:35:30 IST 2024","3870","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.User.LoginPage","org.example.User.LoginPage","LoginpagewithvalidInput","LoginpagewithvalidInput",""
"skipped","Wed Jul 03 12:37:31 IST 2024","Wed Jul 03 12:37:31 IST 2024","2","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","signUpalreadyexistEmail","signUpalreadyexistEmail",""
"passed","Fri Jun 28 12:41:01 IST 2024","Fri Jun 28 12:41:01 IST 2024","60","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","Individiual","Individiual",""
"broken","Thu Jun 27 13:04:07 IST 2024","Thu Jun 27 13:04:07 IST 2024","56","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","CreateParty","CreateParty",""
"passed","Wed Jul 10 10:14:34 IST 2024","Wed Jul 10 10:14:37 IST 2024","3249","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.RSignUp","org.example.Resturant.RSignUp","SignupPage_Nagtive2","SignupPage_Nagtive2",""
